Candidate ID Number,Position Title,Department,Furthest Recruiting Stage Reached,Date of Application,Application Source,Years of Experience,Candidate Type,Degree,School,Major,Degree.1,School.1,Major.1,Degree.2,School.2,Major.2,Degree.3,School.3,Major.3,Highest Degree Level,Associated School,Associated Major,Offer Decision
3668741,Associate Product Manager,Product,New Application,2016-11-17,Campus Event,0,Campus,Bachelors,NYU,Computer Science,Bachelors,UC Berkeley,Physics,,,,,,,Bachelors,NYU,Computer Science,
783317,Operations Coordinator,Operations,New Application,2017-12-22,Campus Job Board,0,Campus,Bachelors,Harvard,Political Science,,,,,,,,,,Bachelors,Harvard,Political Science,
2046362,Business Operations Manager,Operations,New Application,2018-06-20,Agency,6,Experienced,Bachelors,Columbia,Statistics,Masters,NYU,Computer Science,Masters,University of Washington,Mathematics,,,,Masters,NYU,Computer Science,
39321,System Engineer,Engineering,New Application,2018-09-04,Career Fair,0,Campus,Bachelors,University of Washington,Computer Science,,,,,,,,,,Bachelors,University of Washington,Computer Science,
222272,Operations Generalist,Operations,New Application,2018-11-08,Campus Job Board,2,Campus,PhD,NYU,Physics,Bachelors,Columbia,Statistics,,,,,,,PhD,NYU,Physics,
10593,Associate Relationship Manager,Sales,New Application,2016-11-12,Campus Job Board,0,Campus,Bachelors,University of Washington,Statistics,,,,,,,,,,Bachelors,University of Washington,Statistics,
1691609,Associate Relationship Manager,Sales,New Application,2017-01-27,Campus Job Board,0,Campus,Bachelors,NYU,Psychology,,,,,,,,,,Bachelors,NYU,Psychology,
6326312,Associate Relationship Manager,Sales,Phone Screen,2016-03-11,Campus Job Board,2,Campus,Bachelors,Harvard,Business,Bachelors,Georgia Tech,English,,,,,,,Bachelors,Harvard,Business,
103092,System Engineer,Engineering,New Application,2016-11-01,Career Fair,0,Campus,Bachelors,Harvard,Statistics,,,,,,,,,,Bachelors,Harvard,Statistics,
13196,Associate Product Manager,Product,New Application,2016-01-07,Campus Job Board,0,Campus,Bachelors,MIT,Mathematics,,,,,,,,,,Bachelors,MIT,Mathematics,
135087,Operations Coordinator,Operations,New Application,2018-08-03,Campus Event,0,Campus,Bachelors,Columbia,Business,,,,,,,,,,Bachelors,Columbia,Business,
1772834,Sr. Product Manager,Product,New Application,2018-04-20,Website,5,Experienced,Bachelors,Columbia,Mathematics,PhD,Harvard,Physics,,,,,,,PhD,Harvard,Physics,
524777,Finance Manager,Finance,New Application,2018-12-26,Website,7,Experienced,Masters,Columbia,Sociology,Bachelors,NYU,Political Science,Bachelors,NYU,Business,,,,Masters,Columbia,Sociology,
4122986,Financial Analyst,Finance,New Application,2017-10-04,Campus Job Board,0,Campus,Bachelors,University of Texas,Economics,,,,,,,,,,Bachelors,University of Texas,Economics,
1097711,Account Executive,Sales,New Application,2017-10-06,Website,8,Experienced,Bachelors,Harvard,Sociology,,,,,,,,,,Bachelors,Harvard,Sociology,
3628796,Associate Product Manager,Product,New Application,2018-08-06,Campus Job Board,0,Campus,Bachelors,MIT,Physics,,,,,,,,,,Bachelors,MIT,Physics,
27058,Sr. Business Analyst,IT,New Application,2018-07-27,Advertisement,13,Experienced,Bachelors,University of Texas,Mathematics,,,,,,,,,,Bachelors,University of Texas,Mathematics,Offer Declined
5021772,Associate Product Manager,Product,New Application,2018-11-18,Campus Job Board,0,Campus,Bachelors,Harvard,Mathematics,,,,,,,,,,Bachelors,Harvard,Mathematics,
101255,System Engineer,Engineering,New Application,2017-12-14,Campus Job Board,0,Campus,Bachelors,NYU,Statistics,,,,,,,,,,Bachelors,NYU,Statistics,
6242267,Associate Relationship Manager,Sales,Phone Screen,2018-03-20,Website,0,Campus,Masters,Columbia,Mathematics,Bachelors,Harvard,Psychology,,,,,,,Masters,Columbia,Mathematics,
444507,Associate Product Manager,Product,New Application,2018-08-27,Website,0,Campus,Bachelors,University of Texas,Mathematics,,,,,,,,,,Bachelors,University of Texas,Mathematics,
3722351,Associate Relationship Manager,Sales,In-House Interview,2018-11-25,Campus Job Board,1,Campus,Bachelors,Columbia,Management,Bachelors,MIT,Economics,,,,,,,Bachelors,Columbia,Management,
3993611,Associate Relationship Manager,Sales,New Application,2016-02-02,Advertisement,0,Campus,Bachelors,Columbia,Business,,,,,,,,,,Bachelors,Columbia,Business,
6091917,IT Analyst,IT,New Application,2017-01-15,Campus Job Board,0,Campus,Bachelors,University of Washington,Computer Science,,,,,,,,,,Bachelors,University of Washington,Computer Science,
611492,Associate Relationship Manager,Sales,New Application,2016-10-28,Website,0,Campus,Bachelors,University of Texas,Business,,,,,,,,,,Bachelors,University of Texas,Business,
6262001,Associate Relationship Manager,Sales,New Application,2016-10-10,Campus Job Board,0,Campus,Bachelors,University of Michigan,Statistics,,,,,,,,,,Bachelors,University of Michigan,Statistics,
5766251,Associate Relationship Manager,Sales,New Application,2016-09-12,Campus Job Board,0,Campus,Bachelors,MIT,English,,,,,,,,,,Bachelors,MIT,English,
72965,System Engineer,Engineering,New Application,2017-09-25,Advertisement,0,Campus,Bachelors,Columbia,Computer Science,,,,,,,,,,Bachelors,Columbia,Computer Science,
144861,Associate Relationship Manager,Sales,New Application,2018-08-21,Campus Job Board,0,Campus,Bachelors,NYU,Psychology,,,,,,,,,,Bachelors,NYU,Psychology,
105882,Associate Relationship Manager,Sales,New Application,2018-08-08,Campus Job Board,0,Campus,Masters,Columbia,Statistics,Bachelors,Columbia,Mathematics,,,,,,,Masters,Columbia,Statistics,
827162,Sr. Customer Service Operations Associate,Operations,New Application,2016-05-19,Agency,12,Experienced,Bachelors,UC Berkeley,Computer Science,,,,,,,,,,Bachelors,UC Berkeley,Computer Science,
2603922,Associate Product Manager,Product,New Application,2016-12-18,Campus Job Board,1,Campus,Masters,UC Berkeley,Computer Science,Bachelors,University of Washington,Economics,,,,,,,Masters,UC Berkeley,Computer Science,
239982,Business Operations Manager,Operations,In-House Interview,2018-01-27,Agency,6,Experienced,Bachelors,University of Texas,Mathematics,,,,,,,,,,Bachelors,University of Texas,Mathematics,
6074231,Associate Product Manager,Product,New Application,2017-10-13,Advertisement,1,Campus,PhD,UC Berkeley,Computer Science,Bachelors,Vanderbilt,Mathematics,,,,,,,PhD,UC Berkeley,Computer Science,
39050,System Engineer,Engineering,New Application,2016-09-23,Career Fair,0,Campus,Bachelors,NYU,Mathematics,,,,,,,,,,Bachelors,NYU,Mathematics,
2236101,Sr. Business Analyst,IT,New Application,2016-05-04,Website,15,Experienced,Bachelors,Harvard,Mathematics,,,,,,,,,,Bachelors,Harvard,Mathematics,
71843,System Engineer,Engineering,New Application,2016-10-09,Campus Job Board,0,Campus,Bachelors,Harvard,Computer Science,,,,,,,,,,Bachelors,Harvard,Computer Science,
104667,System Engineer,Engineering,New Application,2016-01-06,Campus Event,0,Campus,Bachelors,NYU,Mathematics,PhD,University of Texas,Statistics,,,,,,,PhD,University of Texas,Statistics,
2515262,Sr. Software Engineer,Engineering,New Application,2017-09-18,Advertisement,15,Experienced,Bachelors,Georgia Tech,Statistics,,,,,,,,,,Bachelors,Georgia Tech,Statistics,
747636,Associate Relationship Manager,Sales,In-House Interview,2017-09-08,Campus Event,0,Campus,Bachelors,University of Texas,Political Science,Bachelors,NYU,Business,,,,,,,Bachelors,University of Texas,Political Science,
7925,System Engineer,Engineering,New Application,2016-01-10,Advertisement,1,Campus,Bachelors,University of Texas,English,,,,,,,,,,Bachelors,University of Texas,English,
36395,System Engineer,Engineering,New Application,2018-09-22,Career Fair,0,Campus,Bachelors,UC Berkeley,Mathematics,,,,,,,,,,Bachelors,UC Berkeley,Mathematics,
5109986,System Engineer,Engineering,New Application,2016-11-16,Campus Job Board,0,Campus,Bachelors,Columbia,Computer Science,,,,,,,,,,Bachelors,Columbia,Computer Science,
123866,Associate Product Manager,Product,New Application,2018-10-01,Campus Job Board,0,Campus,Bachelors,MIT,Business,,,,,,,,,,Bachelors,MIT,Business,
5589284,Financial Analyst,Finance,New Application,2018-03-12,Campus Event,0,Campus,Bachelors,University of Michigan,Computer Science,,,,,,,,,,Bachelors,University of Michigan,Computer Science,
