Department,Highest Degree Level,Furthest Recruiting Stage Reached,Applicants,Conversion Rate
Engineering,Bachelors,New Application,1186,
Engineering,Bachelors,Phone Screen,150,12.647554806070826
Engineering,Bachelors,In-House Interview,90,60.0
Engineering,Bachelors,Offer Sent,33,16.666666666666664
Engineering,Bachelors,Offer Accepted,18,120.0
Engineering,JD,New Application,0,
Engineering,JD,Phone Screen,0,
Engineering,JD,In-House Interview,0,
Engineering,JD,Offer Sent,0,
Engineering,JD,Offer Accepted,0,
Engineering,Masters,New Application,320,
Engineering,Masters,Phone Screen,27,8.4375
Engineering,Masters,In-House Interview,18,66.66666666666666
Engineering,Masters,Offer Sent,4,16.666666666666664
Engineering,Masters,Offer Accepted,1,33.33333333333333
Engineering,PhD,New Application,287,
Engineering,PhD,Phone Screen,216,75.26132404181185
Engineering,PhD,In-House Interview,177,81.94444444444444
Engineering,PhD,Offer Sent,19,6.214689265536723
Engineering,PhD,Offer Accepted,8,72.72727272727273
Finance,Bachelors,New Application,311,
Finance,Bachelors,Phone Screen,24,7.717041800643088
Finance,Bachelors,In-House Interview,13,54.166666666666664
Finance,Bachelors,Offer Sent,4,0.0
Finance,Bachelors,Offer Accepted,4,inf
Finance,JD,New Application,0,
Finance,JD,Phone Screen,0,
Finance,JD,In-House Interview,0,
Finance,JD,Offer Sent,0,
Finance,JD,Offer Accepted,0,
Finance,Masters,New Application,77,
Finance,Masters,Phone Screen,4,5.194805194805195
Finance,Masters,In-House Interview,0,0.0
Finance,Masters,Offer Sent,1,inf
Finance,Masters,Offer Accepted,0,0.0
Finance,PhD,New Application,62,
Finance,PhD,Phone Screen,5,8.064516129032258
Finance,PhD,In-House Interview,7,140.0
Finance,PhD,Offer Sent,1,14.285714285714285
Finance,PhD,Offer Accepted,0,0.0
IT,Bachelors,New Application,267,
IT,Bachelors,Phone Screen,13,4.868913857677903
IT,Bachelors,In-House Interview,18,138.46153846153845
IT,Bachelors,Offer Sent,8,16.666666666666664
IT,Bachelors,Offer Accepted,5,166.66666666666669
IT,JD,New Application,0,
IT,JD,Phone Screen,0,
IT,JD,In-House Interview,0,
IT,JD,Offer Sent,0,
IT,JD,Offer Accepted,0,
IT,Masters,New Application,74,
IT,Masters,Phone Screen,3,4.054054054054054
IT,Masters,In-House Interview,1,33.33333333333333
IT,Masters,Offer Sent,0,0.0
IT,Masters,Offer Accepted,0,
IT,PhD,New Application,72,
IT,PhD,Phone Screen,8,11.11111111111111
IT,PhD,In-House Interview,7,87.5
IT,PhD,Offer Sent,2,0.0
IT,PhD,Offer Accepted,2,inf
Operations,Bachelors,New Application,683,
Operations,Bachelors,Phone Screen,52,7.613469985358712
Operations,Bachelors,In-House Interview,50,96.15384615384616
Operations,Bachelors,Offer Sent,13,8.0
Operations,Bachelors,Offer Accepted,9,225.0
Operations,JD,New Application,0,
Operations,JD,Phone Screen,0,
Operations,JD,In-House Interview,0,
Operations,JD,Offer Sent,0,
Operations,JD,Offer Accepted,0,
Operations,Masters,New Application,145,
Operations,Masters,Phone Screen,9,6.206896551724138
Operations,Masters,In-House Interview,12,133.33333333333331
Operations,Masters,Offer Sent,2,0.0
Operations,Masters,Offer Accepted,2,inf
Operations,PhD,New Application,163,
Operations,PhD,Phone Screen,11,6.748466257668712
Operations,PhD,In-House Interview,9,81.81818181818183
Operations,PhD,Offer Sent,2,0.0
Operations,PhD,Offer Accepted,2,inf
Product,Bachelors,New Application,578,
Product,Bachelors,Phone Screen,91,15.7439446366782
Product,Bachelors,In-House Interview,63,69.23076923076923
Product,Bachelors,Offer Sent,11,7.936507936507936
Product,Bachelors,Offer Accepted,6,120.0
Product,JD,New Application,3,
Product,JD,Phone Screen,0,0.0
Product,JD,In-House Interview,0,
Product,JD,Offer Sent,0,
Product,JD,Offer Accepted,0,
Product,Masters,New Application,78,
Product,Masters,Phone Screen,7,8.974358974358974
Product,Masters,In-House Interview,7,100.0
Product,Masters,Offer Sent,2,14.285714285714285
Product,Masters,Offer Accepted,1,100.0
Product,PhD,New Application,97,
Product,PhD,Phone Screen,31,31.958762886597935
Product,PhD,In-House Interview,70,225.80645161290326
Product,PhD,Offer Sent,7,5.714285714285714
Product,PhD,Offer Accepted,3,75.0
Sales,Bachelors,New Application,923,
Sales,Bachelors,Phone Screen,153,16.57638136511376
Sales,Bachelors,In-House Interview,134,87.58169934640523
Sales,Bachelors,Offer Sent,16,5.223880597014925
Sales,Bachelors,Offer Accepted,9,128.57142857142858
Sales,JD,New Application,0,
Sales,JD,Phone Screen,5,inf
Sales,JD,In-House Interview,1,20.0
Sales,JD,Offer Sent,1,0.0
Sales,JD,Offer Accepted,1,inf
Sales,Masters,New Application,231,
Sales,Masters,Phone Screen,58,25.108225108225106
Sales,Masters,In-House Interview,59,101.72413793103448
Sales,Masters,Offer Sent,7,8.47457627118644
Sales,Masters,Offer Accepted,2,40.0
Sales,PhD,New Application,82,
Sales,PhD,Phone Screen,19,23.170731707317074
Sales,PhD,In-House Interview,13,68.42105263157895
Sales,PhD,Offer Sent,1,0.0
Sales,PhD,Offer Accepted,1,inf
